time,seconds_elapsed,bpm
1755569156200000000,-4294967.292,81
1755569158851000000,-4294964.641,0
1755569159858000000,-4294963.634000245,86
1755569160866000000,-4294962.626000244,87
1755569161874000000,-4294961.618000244,87
1755569162881000000,-4294960.611,87
1755569163889000000,-4294959.603,85
1755569164896000000,-4294958.596,87
1755569165904000000,-4294957.588,87
1755569166911000000,-4294956.581,85
1755569167918000000,-4294955.573999756,87
1755569168926000000,-4294954.565999756,86
1755569169934000000,-4294953.557999756,86
1755569170941000000,-4294952.551,86
1755569171948000000,-4294951.544,89
1755569172956000000,-4294950.536,88
1755569173963000000,-4294949.529,89
1755569174969000000,-4294948.523,88
1755569175976000000,-4294947.516,89
1755569176984000000,-4294946.508,88
1755569177992000000,-4294945.5,87
1755569179000000000,-4294944.492,87
1755569180008000000,-4294943.484,87
1755569181015000000,-4294942.477,89
1755569182023000000,-4294941.469,89
1755569183030000000,-4294940.461999756,91
1755569184038000000,-4294939.453999756,93
1755569185046000000,-4294938.4459997555,95
1755569186054000000,-4294937.437999756,95
1755569187062000000,-4294936.429999756,92
1755569188070000000,-4294935.421999756,93
1755569189078000000,-4294934.413999756,94
1755569190086000000,-4294933.4059997555,95
1755569191094000000,-4294932.397999756,95
1755569192102000000,-4294931.389999756,95
1755569193110000000,-4294930.381999756,95
1755569194117000000,-4294929.375,96
1755569195125000000,-4294928.367,96
1755569196132000000,-4294927.36,97
1755569197139000000,-4294926.353,98
1755569198147000000,-4294925.345,98
1755569199154000000,-4294924.338000244,99
1755569200162000000,-4294923.330000244,100
1755569201170000000,-4294922.322000244,101
1755569202177000000,-4294921.315,101
1755569203185000000,-4294920.307,101
1755569204193000000,-4294919.299,102
1755569205201000000,-4294918.291,104
1755569206208000000,-4294917.284,105
1755569207216000000,-4294916.276,106
1755569208224000000,-4294915.268,107
1755569209232000000,-4294914.26,108
1755569210239000000,-4294913.253,109
1755569211246000000,-4294912.245999756,110
1755569212254000000,-4294911.237999756,111
1755569213261000000,-4294910.231,112
1755569214269000000,-4294909.223,0
1755569215276000000,-4294908.216,113
1755569216284000000,-4294907.208,113
1755569217291000000,-4294906.201,114
1755569218299000000,-4294905.193,114
1755569219307000000,-4294904.185,114
1755569220314000000,-4294903.178000244,114
1755569221323000000,-4294902.169,114
1755569222330000000,-4294901.1620002445,115
1755569223338000000,-4294900.154000244,115
1755569224345000000,-4294899.147,115
1755569225353000000,-4294898.139,0
1755569226360000000,-4294897.132,116
1755569227368000000,-4294896.124,116
1755569228376000000,-4294895.116,116
1755569229383000000,-4294894.109,116
1755569230390000000,-4294893.101999756,116
1755569231398000000,-4294892.093999756,117
1755569232405000000,-4294891.087,117
1755569233413000000,-4294890.079,117
1755569234421000000,-4294889.071,117
1755569235429000000,-4294888.063,118
1755569236436000000,-4294887.056,118
1755569237444000000,-4294886.048,118
1755569238451000000,-4294885.041,119
1755569239459000000,-4294884.033,120
1755569240467000000,-4294883.025,120
