time,seconds_elapsed,yaw,pitch,qy,qz,roll,qx,qw
1759864122623246300,-0.868753662109375,1.4032467603683472,-0.5994845628738403,-0.1654520034790039,-0.6085829734802246,0.06859572976827621,0.2465430051088333,0.7358440160751343
1759864122663560200,-0.828439697265625,1.4007680416107178,-0.5993244051933289,-0.16441699862480164,-0.6074600219726562,0.07043947279453278,0.2472500056028366,0.7367669939994812
1759864122693833500,-0.79816650390625,1.4003254175186157,-0.5991874933242798,-0.1638229936361313,-0.6071450114250183,0.07178714126348495,0.2476460039615631,0.7370259761810303
1759864122734238700,-0.75776123046875,1.4009368419647217,-0.6006905436515808,-0.1640779972076416,-0.6071100234985352,0.07257307320833206,0.2483779937028885,0.7367510199546814
1759864122744340000,-0.747659912109375,1.400990605354309,-0.600764811038971,-0.1641409993171692,-0.6071329712867737,0.07248281687498093,0.24837300181388855,0.7367200255393982
1759864122754411000,-0.737589111328125,1.4008418321609497,-0.6007575988769531,-0.1641709953546524,-0.6070960164070129,0.07234565913677216,0.24834099411964417,0.7367540001869202
1759864122764512300,-0.72748779296875,1.399373173713684,-0.6009386777877808,-0.16407999396324158,-0.6065469980239868,0.07225010544061661,0.24849799275398254,0.7371739745140076
1759864122794724600,-0.697275390625,1.3960871696472168,-0.6027854084968567,-0.1644030064344406,-0.6051880121231079,0.07182355970144272,0.24930700659751892,0.737945020198822
1759864122845017600,-0.646982421875,1.3919637203216553,-0.603837788105011,-0.16406899690628052,-0.6035019755363464,0.07221762090921402,0.2501460015773773,0.7391160130500793
1759864122895371500,-0.59662841796875,1.3923726081848145,-0.605048656463623,-0.16373099386692047,-0.6032620072364807,0.07428749650716782,0.25117599964141846,0.7390369772911072
1759864122905473000,-0.58652685546875,1.3929845094680786,-0.6051257252693176,-0.1636209934949875,-0.6034079790115356,0.07485809177160263,0.2513259947299957,0.7388910055160522
1759864122965836800,-0.5261630859375,1.3962788581848145,-0.6007627844810486,-0.16069500148296356,-0.6044279932975769,0.08022831380367279,0.25110098719596863,0.7387760281562805
1759864122986039300,-0.505960693359375,1.396355152130127,-0.6035376787185669,-0.16115200519561768,-0.6040089726448059,0.08135581761598587,0.2524389922618866,0.7385630011558533
1759864123046494700,-0.44550537109375,1.3939807415008545,-0.5993619561195374,-0.16043399274349213,-0.603888988494873,0.0789758488535881,0.25040000677108765,0.7395110130310059
1759864123066636300,-0.42536376953125,1.393678069114685,-0.6001439690589905,-0.16018900275230408,-0.603538990020752,0.0801931843161583,0.25107499957084656,0.7396209836006165
