time,seconds_elapsed,magneticBearing
1759864123823552500,0.331552490234375,133.18169630968416
1759864123853552600,0.361552734375,135
1759864123863557000,0.37155712890625,135
1759864123873556200,0.38155615234375,134.84598082714592
1759864123883556400,0.391556396484375,135.38870501999665
1759864123893556200,0.40155615234375,136.3322180006333
1759864123903556400,0.411556396484375,137.4828146803938
1759864123913556200,0.42155615234375,139.06336477535814
1759864123923556400,0.431556396484375,140.3217843218837
1759864123933556200,0.44155615234375,141.02946254801242
1759864123943556400,0.451556396484375,141.86152126842182
1759864123953556200,0.46155615234375,143.02033864056858
1759864123963556400,0.471556396484375,144.42470340248798
1759864123973556200,0.48155615234375,145.0079800792607
1759864123983556400,0.491556396484375,146.2514679309161
1759864123993556200,0.50155615234375,146.19282426438565
1759864124003557000,0.51155712890625,145.8941071878205
1759864124013557000,0.521556884765625,146.51795758575662
1759864124023557000,0.53155712890625,146.72792267897174
1759864124033557000,0.541556884765625,146.8769050511017
1759864124043557000,0.55155712890625,146.39816947151508
1759864124053557000,0.561556884765625,146.8112220722479
1759864124063557000,0.57155712890625,147.04747809152317
1759864124073557000,0.581556884765625,147.34832257639513
1759864124083557000,0.59155712890625,148.6065777530069
1759864124093557000,0.601556884765625,148.2048304963298
1759864124103557000,0.61155712890625,148.06522165992627
1759864124113557500,0.6215576171875,148.00640426638438
1759864124123557600,0.6315576171875,147.31769752185562
1759864124133557500,0.6415576171875,147.07833939571768
1759864124143557600,0.6515576171875,146.3723446071748
1759864124153557500,0.6615576171875,145.5263967004353
1759864124163557000,0.67155712890625,145.64447026798396
1759864124173557200,0.68155712890625,145.73055571291152
1759864124183557000,0.69155712890625,145.17132446813977
1759864124193557200,0.70155712890625,144.88032769508717
1759864124203557000,0.71155712890625,144.53258907744896
1759864124213557200,0.72155712890625,143.73319510637867
1759864124223557000,0.73155712890625,142.50473342957446
1759864124233557200,0.74155712890625,142.52700961000505
1759864124243557000,0.75155712890625,141.26349007902704
1759864124253557800,0.761557861328125,140.06585526667047
1759864124263557600,0.7715576171875,139.7334397983681
1759864124273557800,0.781557861328125,139.0724385567919
1759864124283557000,0.79155712890625,138.55302084879818
1759864124293556200,0.80155615234375,138.77642107025466
1759864124303555300,0.811555419921875,138.06307360625263
1759864124313555000,0.821554931640625,135.87245862437769
1759864124323554300,0.83155419921875,134.59793132427106
1759864124333554000,0.841553955078125,132.1678880371456
1759864124343553300,0.85155322265625,129.13612918291352
1759864124353553400,0.861553466796875,127.34934954283091
1759864124363553300,0.87155322265625,123.77340471642322
1759864124373553400,0.881553466796875,120.93758235833873
1759864124383553300,0.89155322265625,119.00911747044853
1759864124393552400,0.901552490234375,117.59420777678352
