time,seconds_elapsed,z,y,x
1759864123663552500,0.171552490234375,0.31674957275390625,-1.9599401950836182,-1.7521692514419556
1759864123695552500,0.203552490234375,0.2746429443359375,-1.84462308883667,-1.8054921627044678
1759864123705552600,0.213552734375,0.2609386444091797,-1.800853967666626,-1.834209680557251
1759864123715552500,0.223552490234375,0.24820613861083984,-1.7568035125732422,-1.866583228111267
1759864123725552600,0.233552734375,0.2366790771484375,-1.7183153629302979,-1.8915964365005493
1759864123755554300,0.26355419921875,0.2086200714111328,-1.6591613292694092,-1.8791604042053223
1759864123795553500,0.303553466796875,0.17856502532958984,-1.6414222717285156,-1.7683806419372559
1759864123865554400,0.373554443359375,0.17872238159179688,-1.7656488418579102,-1.4731392860412598
1759864123875554300,0.38355419921875,0.19060230255126953,-1.8235387802124023,-1.3875690698623657
1759864123885554200,0.39355419921875,0.20424652099609375,-1.888127088546753,-1.2847769260406494
1759864123895554300,0.40355419921875,0.220611572265625,-1.9580228328704834,-1.1712071895599365
1759864123905554200,0.41355419921875,0.24025821685791016,-2.0308287143707275,-1.0565606355667114
1759864123915554300,0.42355419921875,0.2626066207885742,-2.1016619205474854,-0.9561769962310791
1759864123925554200,0.43355419921875,0.28547000885009766,-2.165792226791382,-0.8766505718231201
1759864123935554300,0.44355419921875,0.30628299713134766,-2.2208797931671143,-0.8102660179138184
1759864123945554200,0.45355419921875,0.32399940490722656,-2.266303777694702,-0.7540470957756042
1759864123955554300,0.46355419921875,0.33917808532714844,-2.304884672164917,-0.7016115784645081
1759864123965554200,0.47355419921875,0.35400962829589844,-2.3419129848480225,-0.6482830047607422
1759864123975554300,0.48355419921875,0.3713397979736328,-2.3830292224884033,-0.5931074619293213
1759864123985554200,0.49355419921875,0.3910398483276367,-2.4274909496307373,-0.5385198593139648
1759864123995554300,0.50355419921875,0.4092426300048828,-2.467498540878296,-0.4884816110134125
1759864124005554700,0.5135546875,0.4224739074707031,-2.4964091777801514,-0.44745883345603943
1759864124015554600,0.523554443359375,0.4291210174560547,-2.511312246322632,-0.4200481176376343
1759864124025554700,0.5335546875,0.42920684814453125,-2.513173818588257,-0.39989525079727173
1759864124035554600,0.543554443359375,0.4238157272338867,-2.5049092769622803,-0.3771935999393463
1759864124045554700,0.5535546875,-4.288797378540039,2.873095989227295,-2.459329843521118
1759864124055554300,0.56355419921875,-4.303899765014648,2.8999571800231934,-2.435824155807495
