time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1759864126846480600,3.354480712890625,180,0.8691388368606567,2.060434341430664,29.29800033569336,0.3554782569408417,156.58547973632812,74.9000015258789,2.2098973,48.9208542
1759864127860573200,4.3685732421875,180,0.5730966925621033,1.9955233335494995,16,0.6126293540000916,136.87123107910156,74.9000015258789,2.2099113,48.9208694
1759864128862302500,5.370302490234375,180,0.4799894690513611,1.9994332790374756,13.333000183105469,0.8803322315216064,97.65135192871094,74.9000015258789,2.2099437,48.9208869
1759864129868489700,6.37648974609375,180,0.5719075798988342,1.9534385204315186,12,1.1225721836090088,89.58448791503906,74.9000015258789,2.2099671,48.9208886
1759864131877684700,8.385684814453125,180,1.5,2.294323205947876,20.37700080871582,1.0633885860443115,81.85803985595703,75.19999694824219,2.2099958,48.9208977
1759864133227083500,9.73508349609375,106.51528930664062,0.22417058050632477,2.3758537769317627,18.945999145507812,1.0996017456054688,31.230613708496094,75.19999694824219,2.2099962,48.9209054
1759864135242682000,11.75068212890625,52.22665786743164,0.16768158972263336,2.417834520339966,18.959999084472656,1.0943689346313477,41.479671478271484,75.19999694824219,2.2100253,48.9209105
1759864136197173800,12.705173828125,19.506603240966797,0.17437782883644104,2.4409894943237305,18.233999252319336,1.1011757850646973,53.634056091308594,75.19999694824219,2.2100515,48.9209166
1759864137277038300,13.785038330078125,6.814487934112549,0.21472878754138947,2.4635705947875977,10.454000473022461,1.0882192850112915,52.34516143798828,75.19999694824219,2.2100832,48.9209287
1759864139237812000,15.74581201171875,6.35561466217041,0.16422924399375916,3.3884034156799316,7.784999847412109,1.0626590251922607,58.2339973449707,75.0999984741211,2.2101205,48.9209417
1759864140203810300,16.711810302734374,6.501518726348877,0.16486267745494843,3.4230871200561523,7.298999786376953,1.0681153535842896,55.18674087524414,75.0999984741211,2.2101359,48.9209449
1759864142237451500,18.745451416015626,5.877810955047607,0.15834403038024902,3.4547321796417236,6.361000061035156,1.0839442014694214,52.149566650390625,75.0999984741211,2.2101676,48.9209505
1759864143197968000,19.7059677734375,4.231216907501221,0.17665347456932068,3.4892983436584473,6.449999809265137,1.0964064598083496,47.48021697998047,75.0999984741211,2.2101876,48.9209515
1759864144277206000,20.7852060546875,6.442594051361084,0.17799429595470428,3.538379669189453,6.5320000648498535,1.0612115859985352,48.20652389526367,75.0999984741211,2.210207,48.920956
1759864146216512300,22.72451220703125,5.684475421905518,0.17918337881565094,3.386120080947876,5.75600004196167,1.2141286134719849,62.90974807739258,75.19999694824219,2.2102389,48.9209757
1759864147276853500,23.784853515625,6.4005537033081055,0.19894541800022125,3.3997254371643066,5.355000019073486,1.2002476453781128,59.063873291015625,75.19999694824219,2.2102578,48.9209846
1759864149200596200,25.70859619140625,4.105222225189209,0.21561385691165924,3.407907247543335,3.9739999771118164,1.429411768913269,53.83096694946289,75.19999694824219,2.2103039,48.9210128
1759864150239365600,26.74736572265625,4.014814853668213,0.266922265291214,3.4104998111724854,3.3550000190734863,1.5266684293746948,55.49146270751953,75.19999694824219,2.2103307,48.9210286
1759864151297372400,27.805372314453123,4.114907741546631,0.3332075774669647,3.4203977584838867,3.25,1.758389949798584,54.207603454589844,75.19999694824219,2.210361,48.9210483
1759864153238019600,29.74601953125,6.159911155700684,0.21758736670017242,3.424327850341797,3.252000093460083,1.1999266147613525,58.40228271484375,75.19999694824219,2.210407,48.9210712
1759864155256900900,31.76490087890625,7.320425510406494,0.2915477156639099,3.4316067695617676,3.365999937057495,0.6029596328735352,45.26628112792969,75.19999694824219,2.2104233,48.9210711
1759864156232158000,32.740157958984376,9.292595863342285,0.25324150919914246,3.437617063522339,3.2980000972747803,0.5031713843345642,48.97172927856445,75.19999694824219,2.2104162,48.9210695
1759864158256545000,34.764544921875,6.814507961273193,0.41403526067733765,2.3878700733184814,3.427000045776367,0.5925315022468567,54.18052291870117,75.19999694824219,2.210421,48.9210727
1759864159226177300,35.73417724609375,7.180562973022461,0.22716858983039856,2.350855588912964,3.7300000190734863,0.13600972294807434,56.477294921875,75.19999694824219,2.2104106,48.9210678
1759864161223158500,37.73115844726563,6.800167083740234,0.1675482541322708,2.311321496963501,4.09499979019165,0.9866379499435425,57.59614562988281,75.19999694824219,2.210434,48.9210788
1759864162277072400,38.785072265625,6.726853370666504,0.18502722680568695,2.293318271636963,4.296000003814697,1.0931817293167114,55.22700500488281,75.19999694824219,2.2104617,48.9210901
1759864164315915000,40.8239150390625,6.77890157699585,0.2147846519947052,2.3385977745056152,3.9590001106262207,1.1145621538162231,54.457427978515625,75.19999694824219,2.2104794,48.9210984
1759864165275800800,41.78380078125,6.2028422355651855,0.15853789448738098,2.276906728744507,3.5880000591278076,1.1035230159759521,54.074012756347656,75.19999694824219,2.2104888,48.9211039
1759864167231407000,43.739406982421876,6.269230365753174,0.14575323462486267,2.3040385246276855,3.1449999809265137,1.1012341976165771,57.918270111083984,75.19999694824219,2.2105063,48.9211133
1759864168275448000,44.783447998046874,6.25330924987793,0.20501938462257385,2.3098464012145996,3.11299991607666,1.1230930089950562,55.82270050048828,75.19999694824219,2.2105193,48.9211199
1759864170201449200,46.70944921875,5.983582496643066,0.13526344299316406,2.4023499488830566,3.0309998989105225,1.140328049659729,52.93057632446289,75.19999694824219,2.2105419,48.9211324
1759864172205373200,48.71337329101563,6.097232341766357,0.15684248507022858,1.6458488702774048,3.0199999809265137,1.1638935804367065,52.31540298461914,75.19999694824219,2.2105669,48.9211479
