time,seconds_elapsed,z,y,x
1759864123823552500,0.331552490234375,-30.17999839782715,-21.959999084472656,-23.399999618530273
1759864123853552600,0.361552734375,-31.01999855041504,-22.68000030517578,-22.68000030517578
1759864123863557000,0.37155712890625,-30.959999084472656,-22.3799991607666,-22.3799991607666
1759864123873556200,0.38155615234375,-31.5,-22.260000228881836,-22.3799991607666
1759864123883556400,0.391556396484375,-30.959999084472656,-22.260000228881836,-21.959999084472656
1759864123893556200,0.40155615234375,-31.260000228881836,-22.439998626708984,-21.420000076293945
1759864123903556400,0.411556396484375,-31.01999855041504,-23.100000381469727,-21.18000030517578
1759864123913556200,0.42155615234375,-30.899999618530273,-23.51999855041504,-20.399999618530273
1759864123923556400,0.431556396484375,-30.899999618530273,-23.939998626708984,-19.85999870300293
1759864123933556200,0.44155615234375,-30.420000076293945,-24.18000030517578,-19.559999465942383
1759864123943556400,0.451556396484375,-30.420000076293945,-24.299999237060547,-19.079999923706055
1759864123953556200,0.46155615234375,-30.239999771118164,-25.01999855041504,-18.84000015258789
1759864123963556400,0.471556396484375,-30.239999771118164,-25.920000076293945,-18.53999900817871
1759864123973556200,0.48155615234375,-30.119998931884766,-26.399999618530273,-18.479999542236328
1759864123983556400,0.491556396484375,-30,-27.119998931884766,-18.119998931884766
1759864123993556200,0.50155615234375,-30.17999839782715,-27.059999465942383,-18.119998931884766
1759864124003557000,0.51155712890625,-29.939998626708984,-26.579999923706055,-18
1759864124013557000,0.521556884765625,-29.69999885559082,-26.760000228881836,-17.69999885559082
1759864124023557000,0.53155712890625,-29.81999969482422,-26.69999885559082,-17.520000457763672
1759864124033557000,0.541556884765625,-29.51999855041504,-26.760000228881836,-17.459999084472656
1759864124043557000,0.55155712890625,-29.51999855041504,-27,-17.940000534057617
1759864124053557000,0.561556884765625,-29.81999969482422,-27.059999465942383,-17.69999885559082
1759864124063557000,0.57155712890625,-29.8799991607666,-27.119998931884766,-17.579999923706055
1759864124073557000,0.581556884765625,-29.8799991607666,-27.059999465942383,-17.34000015258789
1759864124083557000,0.59155712890625,-30.17999839782715,-26.939998626708984,-16.440000534057617
1759864124093557000,0.601556884765625,-30.17999839782715,-26.51999855041504,-16.440000534057617
1759864124103557000,0.61155712890625,-30.119998931884766,-26.279998779296875,-16.3799991607666
1759864124113557500,0.6215576171875,-30.599998474121094,-26.219999313354492,-16.3799991607666
1759864124123557600,0.6315576171875,-30.479999542236328,-26.279998779296875,-16.85999870300293
1759864124133557500,0.6415576171875,-30.84000015258789,-26.03999900817871,-16.85999870300293
1759864124143557600,0.6515576171875,-31.139999389648438,-25.439998626708984,-16.920000076293945
1759864124153557500,0.6615576171875,-31.3799991607666,-25.079999923706055,-17.219999313354492
1759864124163557000,0.67155712890625,-32.21999740600586,-24.84000015258789,-16.979999542236328
1759864124173557200,0.68155712890625,-32.57999801635742,-24.479999542236328,-16.68000030517578
1759864124183557000,0.69155712890625,-32.57999801635742,-24.059999465942383,-16.739999771118164
1759864124193557200,0.70155712890625,-32.7599983215332,-23.459999084472656,-16.5
1759864124203557000,0.71155712890625,-32.63999938964844,-23.15999984741211,-16.5
1759864124213557200,0.72155712890625,-32.459999084472656,-22.979999542236328,-16.85999870300293
1759864124223557000,0.73155712890625,-32.7599983215332,-22.68000030517578,-17.399999618530273
1759864124233557200,0.74155712890625,-32.52000045776367,-22.619998931884766,-17.34000015258789
1759864124243557000,0.75155712890625,-32.459999084472656,-21.84000015258789,-17.520000457763672
1759864124253557800,0.761557861328125,-32.7599983215332,-21,-17.579999923706055
1759864124263557600,0.7715576171875,-33.47999954223633,-20.399999618530273,-17.279998779296875
1759864124273557800,0.781557861328125,-33.84000015258789,-19.85999870300293,-17.219999313354492
1759864124283557000,0.79155712890625,-33.959999084472656,-19.5,-17.219999313354492
1759864124293556200,0.80155615234375,-34.31999969482422,-19.3799991607666,-16.979999542236328
1759864124303555300,0.811555419921875,-34.619998931884766,-18.899999618530273,-16.979999542236328
1759864124313555000,0.821554931640625,-35.21999740600586,-18,-17.459999084472656
1759864124323554300,0.83155419921875,-35.939998626708984,-16.979999542236328,-17.219999313354492
1759864124333554000,0.841553955078125,-36.23999786376953,-16.139999389648438,-17.81999969482422
1759864124343553300,0.85155322265625,-36.18000030517578,-14.9399995803833,-18.35999870300293
1759864124353553400,0.861553466796875,-36.29999923706055,-13.920000076293945,-18.239999771118164
1759864124363553300,0.87155322265625,-36.71999740600586,-12.719999313354492,-19.020000457763672
1759864124373553400,0.881553466796875,-36.84000015258789,-11.579999923706055,-19.31999969482422
1759864124383553300,0.89155322265625,-37.07999801635742,-10.679999351501465,-19.260000228881836
1759864124393552400,0.901552490234375,-37.73999786376953,-10.380000114440918,-19.85999870300293
1759864124403552500,0.911552490234375,-37.619998931884766,-9.239999771118164,-20.34000015258789
1759864124413551900,0.9215517578125,-38.099998474121094,-7.980000019073486,-21.119998931884766
1759864124423551700,0.9315517578125,-38.34000015258789,-7.739999771118164,-21.65999984741211
1759864124433551400,0.94155126953125,-37.79999923706055,-6.899999618530273,-22.439998626708984
1759864124443551200,0.95155126953125,-37.68000030517578,-6.899999618530273,-23.15999984741211
1759864124453550800,0.96155078125,-37.619998931884766,-7.199999809265137,-23.639999389648438
1759864124463550700,0.97155078125,-37.2599983215332,-6.960000038146973,-23.760000228881836
1759864124473550300,0.98155029296875,-37.02000045776367,-7.5,-23.34000015258789
1759864124483549700,0.9915498046875,-36.71999740600586,-8.15999984741211,-23.219999313354492
1759864124493549300,1.00154931640625,-35.880001068115234,-8.579999923706055,-23.03999900817871
1759864124503549000,1.011548828125,-35.880001068115234,-8.9399995803833,-22.979999542236328
1759864124513548300,1.02154833984375,-35.70000076293945,-8.639999389648438,-23.579999923706055
1759864124523547600,1.031547607421875,-35.52000045776367,-8.579999923706055,-24.059999465942383
1759864124533547000,1.041547119140625,-35.880001068115234,-8.639999389648438,-24.119998931884766
1759864124543546400,1.05154638671875,-35.63999938964844,-9,-25.079999923706055
1759864124553545200,1.061545166015625,-35.880001068115234,-9.479999542236328,-25.079999923706055
1759864124563544600,1.071544677734375,-36,-9.719999313354492,-24.899999618530273
1759864124573543700,1.081543701171875,-35.880001068115234,-9.84000015258789,-25.139999389648438
1759864124583543600,1.09154345703125,-35.459999084472656,-9.960000038146973,-25.260000228881836
1759864124593543400,1.10154345703125,-34.73999786376953,-10.019999504089355,-25.3799991607666
1759864124603543000,1.11154296875,-34.439998626708984,-10.559999465942383,-25.3799991607666
1759864124613541600,1.121541748046875,-34.13999938964844,-11.039999961853027,-25.3799991607666
1759864124623540500,1.13154052734375,-33.959999084472656,-11.519999504089355,-25.079999923706055
1759864124633539800,1.141539794921875,-33.89999771118164,-11.519999504089355,-25.01999855041504
1759864124643538700,1.15153857421875,-34.02000045776367,-11.34000015258789,-25.079999923706055
1759864124653537300,1.161537353515625,-33.959999084472656,-11.460000038146973,-24.899999618530273
1759864124663536000,1.1715361328125,-34.02000045776367,-11.219999313354492,-25.01999855041504
1759864124673534500,1.181534423828125,-34.5,-11.460000038146973,-25.079999923706055
