time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1759949545006778000,-2.221221923828125,113.84698486328125,2.049999952316284,-1,48.81790863526535,70.25698471069336,-1,11.770397050572615,12,2.375406364952997,0.8799999952316284
1759949547294983000,0.06698291015625,113.84698486328125,2.049999952316284,-1,48.81790863526535,70.25698471069336,-1,11.770397050572615,12,2.375406364952997,0.8799999952316284
1759949549587888000,2.35988818359375,104.74020882043595,0.8199999928474426,35.27366502507377,48.817885305086975,61.15020866784806,145.8984375,9.159394113972498,30,2.3753904087433972,1.409999966621399
1759949555571866000,8.3438662109375,103.98705587000148,0.7699999809265137,34.84478720180491,48.81780621244797,60.39705571741359,152.9296875,8.416003881268281,30,2.3754716013959682,1.340000033378601
1759949561567416000,14.339416015625,104.07196876515049,0.75999999048854,46.3019798987462,48.81775161482489,60.481968612562596,145.1953202796946,8.068070927938825,30,2.3755275402795353,1.3300000429153154
1759949567569495000,20.3414951171875,103.98178583715267,0.7900000214771554,48.494310055928224,48.8177009950051,60.39178568456478,151.8750063768179,7.661556867571801,30,2.3755778261269582,1.3200000524520592
1759949573572498000,26.344497802734374,104.11072973969101,0.7200000286360534,42.897425729096106,48.81764530314522,60.52072958710312,145.19532045519483,7.461728754386701,30,2.3756413203695765,1.3600000143050837
1759949579586823000,32.358822998046875,104.17428667436488,0.8000000119268365,117.85958968045337,48.81759512275299,60.58428652177699,143.085940885337,7.18824242442319,30,2.3756813872374063,0.550000011920927
1759949580999784000,33.77178393554688,103.93780776113272,1.3132785346705578,136.34578622814547,48.81756695883771,60.34780760854483,355.19568770351026,14.245954610177977,5.396395516069915,2.3756077479865323,0.7557299870350852
1759949581999795000,34.771794921875,103.83524571079761,1.503743652846915,-1,48.81756285748248,60.24524555820972,-1,14.245954590575272,4.768613475459034,2.375598553532977,0.5098651758321447
1759949582999805700,35.7718056640625,103.81583092547953,1.9705322662034022,-1,48.817556871750575,60.22583077289164,-1,14.24595459057527,3.4581571815533776,2.3755917594564977,0.658565898731029
1759949583999814400,36.771814453125,103.67974354792386,2.5925494017529007,-1,48.81755393207037,60.08974339533597,-1,14.245954590575272,3,2.3755806726619793,0.6986523233763768
1759949584999823000,37.77182299804687,103.57887452375144,2.9814827426374464,-1,48.81754888678452,59.98887437116355,-1,14.245954590575272,3,2.375572417431533,0.7563819484119817
1759949585999831600,38.77183154296875,103.6470061223954,2.6803770705236833,-1,48.81755477363415,60.057005969807506,-1,14.24595459057527,3,2.375605309973453,0.3182888451426435
1759949586999838500,39.77183837890625,103.63486203644425,2.1255731134350384,-1,48.817568785542434,60.044861883856356,-1,14.24595459057527,3,2.375619412953731,0.38587141768634775
1759949587999845400,40.77184545898437,103.4092664020136,2.27581306274441,-1,48.817572536555936,59.81926624942571,-1,14.24595459057527,3,2.375627752426885,0.4222998428598386
1759949588999852300,41.77185229492188,103.42306183092296,2.1849615323395257,-1,48.817583062651835,59.83306167833507,-1,14.245954590575272,3,2.375636440040777,0.5186162325563635
1759949589999858400,42.7718583984375,103.2396334335208,0.8996111706185255,-1,48.81758036646911,59.6496332809329,-1,14.24595459057527,3,2.3756476465868444,0.1169030614179874
1759949590999863600,43.77186352539063,103.14607542939484,1.302848781025022,-1,48.817586629585314,59.55607527680695,-1,14.24595459057527,3,2.3756452610974703,0.09133950139120804
1759949591999868400,44.771868408203126,103.0686958245933,1.7361968462457014,-1,48.81759430231823,59.478695672005415,-1,14.245954590575272,3,2.375660540121966,0.1686286991257304
1759949592999872800,45.77187280273437,102.9947346476838,1.7717687792598913,-1,48.81760102765027,59.40473449509591,-1,14.24595459057527,3,2.3756805605981195,0.2894023252165348
1759949593999876900,46.771876953125,103.18605331797153,1.834839679731672,-1,48.81761406445327,59.59605316538364,-1,11.817815129512134,3,2.375684414672444,0.20261136107747627
1759949594999880700,47.77188061523437,103.12246431037784,1.485122794004168,-1,48.81760862292789,59.532464157789946,-1,14.24595459057527,3,2.375665089166065,0.2116248118505507
1759949595999883800,48.7718837890625,103.11871124897152,1.6595656936219496,-1,48.81760451422769,59.52871109638363,-1,14.24595459057527,3,2.3756625927538537,0.08168281082757572
1759949596999886800,49.771886962890626,103.1384994275868,1.8087373172785386,-1,48.81760443080929,59.5484992749989,-1,14.245954590575272,3,2.3756601445415737,0.22185624263534273
1759949597999890400,50.771890380859375,103.11964738275856,1.7205514121092476,-1,48.817606442353366,59.52964723017067,-1,14.245954590575272,3,2.3756496785911634,0.3074139319996205
1759949598999892500,51.771892578125,102.78550329431891,2.174045167295433,-1,48.81760450580326,59.195503141731024,-1,14.245954590575272,3,2.3756395060170776,0.3173373976549424
1759949599999894500,52.77189453125,102.87116096913815,2.715810959211156,-1,48.81760492255938,59.281160816550255,-1,14.245954590575272,3,2.3756367549204302,0.302501945395384
1759949600999896300,53.771896240234376,102.61771163344383,2.859524053418009,-1,48.817603876984705,59.02771148085594,-1,14.367126284678509,3,2.375631327332346,0.3918058841892231
1759949601999899000,54.77189892578125,103.13254438061267,2.813893591280465,-1,48.817606856720495,59.54254422802478,-1,14.440400624482319,3,2.3756044741722198,0.9566017667064411
1759949602999900000,55.77189990234375,102.95217601396143,3.1357825740348724,-1,48.81760463559641,59.362175861373544,-1,15.226677095904352,3,2.3755877099126126,1.0301570658331507
1759949603999901200,56.771901123046874,102.9142248230055,3.3828766230649436,180,48.817593214469426,59.32422467041761,235.3327665578356,17.331095071547377,3,2.375576434474925,0.5277694724913338
