time,seconds_elapsed,bpm
1755570060269000000,-4294967.704,130
1755570063410000000,-4294964.563000244,117
1755570064418000000,-4294963.555000244,115
1755570065425000000,-4294962.548,115
1755570066432000000,-4294961.541,116
1755570067439000000,-4294960.534,115
1755570068446000000,-4294959.526999756,115
1755570069453000000,-4294958.52,114
1755570070460000000,-4294957.513,113
1755570071467000000,-4294956.506,114
1755570072474000000,-4294955.499000244,114
1755570073482000000,-4294954.491000244,115
1755570074488000000,-4294953.485,115
1755570075496000000,-4294952.477,116
1755570076503000000,-4294951.47,117
1755570077510000000,-4294950.4629997555,118
1755570078518000000,-4294949.454999756,117
1755570079525000000,-4294948.448,119
1755570080532000000,-4294947.441,120
1755570081539000000,-4294946.434,120
1755570082546000000,-4294945.427000244,118
1755570083553000000,-4294944.42,117
1755570084561000000,-4294943.412,117
1755570085568000000,-4294942.405,118
1755570086575000000,-4294941.398,119
1755570087582000000,-4294940.390999756,120
1755570088589000000,-4294939.384,121
1755570089596000000,-4294938.377,0
1755570090603000000,-4294937.37,0
1755570091611000000,-4294936.362,0
1755570092618000000,-4294935.355000244,0
1755570093625000000,-4294934.348,0
1755570094632000000,-4294933.341,0
1755570095639000000,-4294932.334,0
1755570096647000000,-4294931.326,0
1755570097654000000,-4294930.318999756,0
1755570098661000000,-4294929.312,0
1755570099668000000,-4294928.305,130
1755570100675000000,-4294927.298,130
1755570101682000000,-4294926.291000244,130
1755570102689000000,-4294925.284,129
1755570103696000000,-4294924.277,130
1755570104703000000,-4294923.27,131
1755570105711000000,-4294922.262,133
1755570106718000000,-4294921.254999756,0
1755570107726000000,-4294920.2469997555,133
1755570108733000000,-4294919.24,133
1755570109740000000,-4294918.233,133
1755570110746000000,-4294917.227000244,133
1755570111751000000,-4294916.222,134
1755570112758000000,-4294915.214999756,134
1755570113765000000,-4294914.208,134
1755570114772000000,-4294913.201,134
1755570115779000000,-4294912.194,135
1755570116787000000,-4294911.186,136
1755570117794000000,-4294910.1790002445,137
1755570118800000000,-4294909.173,138
1755570119807000000,-4294908.166,139
1755570120814000000,-4294907.158999756,139
1755570121822000000,-4294906.150999756,140
1755570122829000000,-4294905.144,139
1755570123835000000,-4294904.138,138
1755570124842000000,-4294903.131000244,139
1755570125849000000,-4294902.124,140
1755570126857000000,-4294901.116,139
1755570127864000000,-4294900.109,140
1755570128872000000,-4294899.101,141
1755570129879000000,-4294898.094,142
1755570130886000000,-4294897.086999756,143
1755570131894000000,-4294896.078999756,144
1755570132901000000,-4294895.072,146
1755570133908000000,-4294894.065,145
1755570134916000000,-4294893.057,144
1755570135924000000,-4294892.049,147
1755570136932000000,-4294891.041,149
1755570137939000000,-4294890.034,150
1755570138946000000,-4294889.027000244,150
1755570139953000000,-4294888.02,152
1755570140961000000,-4294887.012,153
1755570141969000000,-4294886.004,152
1755570142976000000,-4294884.997,153
1755570143983000000,-4294883.99,153
1755570144990000000,-4294882.982999756,154
1755570145998000000,-4294881.974999756,154
1755570147005000000,-4294880.968,154
1755570148012000000,-4294879.961,154
1755570149019000000,-4294878.954,153
1755570150026000000,-4294877.947000244,154
1755570151034000000,-4294876.939000244,156
1755570152041000000,-4294875.932,155
1755570153048000000,-4294874.925,154
1755570154055000000,-4294873.918,154
1755570155062000000,-4294872.910999756,155
1755570156070000000,-4294871.902999756,0
1755570157077000000,-4294870.896,154
1755570158084000000,-4294869.889,154
1755570159091000000,-4294868.882,153
1755570160099000000,-4294867.874,153
1755570161106000000,-4294866.867000245,154
1755570162114000000,-4294865.859000244,152
1755570163121000000,-4294864.852,153
1755570164129000000,-4294863.844,152
1755570165136000000,-4294862.837,153
1755570166144000000,-4294861.829,155
1755570167151000000,-4294860.822,154
1755570168158000000,-4294859.8149997555,155
1755570169166000000,-4294858.806999756,156
1755570170173000000,-4294857.8,157
1755570171180000000,-4294856.793,157
1755570172188000000,-4294855.785,158
1755570173195000000,-4294854.778,158
1755570174203000000,-4294853.77,158
1755570175210000000,-4294852.763000244,0
1755570176218000000,-4294851.755000244,0
1755570177225000000,-4294850.748,0
1755570178232000000,-4294849.741,0
1755570179239000000,-4294848.734,0
1755570180247000000,-4294847.726,157
1755570181254000000,-4294846.718999756,156
1755570182262000000,-4294845.710999756,155
1755570183269000000,-4294844.704,156
1755570184275000000,-4294843.698,154
1755570185282000000,-4294842.691000245,153
1755570186290000000,-4294841.683000244,152
1755570187298000000,-4294840.675000244,152
1755570188306000000,-4294839.667000244,151
1755570189314000000,-4294838.659000244,150
1755570190322000000,-4294837.651000245,150
1755570191330000000,-4294836.643000244,150
1755570192338000000,-4294835.635000244,149
1755570193345000000,-4294834.628,0
1755570194353000000,-4294833.62,0
1755570195361000000,-4294832.612,0
1755570196367000000,-4294831.606,0
1755570197375000000,-4294830.598,147
1755570198383000000,-4294829.59,148
1755570199390000000,-4294828.582999756,147
1755570200398000000,-4294827.574999756,146
1755570201405000000,-4294826.568,146
1755570202413000000,-4294825.56,147
1755570203421000000,-4294824.552,148
1755570204428000000,-4294823.545,148
1755570205436000000,-4294822.537,146
1755570206444000000,-4294821.529,0
1755570207451000000,-4294820.522,146
1755570208458000000,-4294819.515000245,146
1755570209466000000,-4294818.507000244,147
1755570210474000000,-4294817.499000244,146
1755570211481000000,-4294816.492,146
1755570212489000000,-4294815.484,145
1755570213497000000,-4294814.476,144
1755570214504000000,-4294813.469,143
1755570215512000000,-4294812.461,142
1755570216519000000,-4294811.454,141
1755570217527000000,-4294810.446,141
1755570218534000000,-4294809.438999756,0
1755570219542000000,-4294808.430999756,141
1755570220550000000,-4294807.4229997555,140
1755570221557000000,-4294806.416,0
1755570222565000000,-4294805.408,0
1755570223573000000,-4294804.4,0
1755570224581000000,-4294803.392,0
1755570225588000000,-4294802.385,0
1755570226595000000,-4294801.378,139
1755570227603000000,-4294800.37,140
1755570228611000000,-4294799.362,140
