time,seconds_elapsed,z,y,x
1759865027420054500,-0.552945556640625,-48.47999954223633,0.6599999666213989,12.420000076293945
1759865027460276500,-0.5127236328125,-47.21999740600586,1.5,14.579999923706055
1759865027470347300,-0.50265283203125,-47.57999801635742,1.3199999332427979,14.039999961853027
1759865027480418000,-0.49258203125,-47.63999938964844,0.8999999761581421,13.619999885559082
1759865027490519600,-0.48248046875,-48.119998931884766,0.35999998450279236,12.84000015258789
1759865027500590300,-0.47240966796875,-48.29999923706055,0.17999999225139618,12.119999885559082
1759865027510661000,-0.4623388671875,-47.87999725341797,-0.05999999865889549,12.239999771118164
1759865027520732000,-0.45226806640625,-47.52000045776367,0.29999998211860657,12.479999542236328
1759865027561137200,-0.41186279296875,-47.57999801635742,0.8399999737739563,12.84000015258789
1759865027581340000,-0.39166015625,-47.459999084472656,0.6599999666213989,13.139999389648438
1759865027591410700,-0.38158935546875,-47.7599983215332,0.5399999618530273,13.380000114440918
1759865027601512000,-0.371488037109375,-48.05999755859375,0.35999998450279236,13.380000114440918
1759865027611613200,-0.36138671875,-48.119998931884766,0.8999999761581421,13.799999237060547
1759865027621684000,-0.35131591796875,-48.18000030517578,0.35999998450279236,13.079999923706055
1759865027631754800,-0.341245361328125,-48.18000030517578,0,12.719999313354492
1759865027641825500,-0.331174560546875,-47.939998626708984,-0.11999999731779099,12.420000076293945
1759865027661997800,-0.311002197265625,-47.459999084472656,0,12.239999771118164
1759865027712351700,-0.260648193359375,-47.099998474121094,0.41999998688697815,12.84000015258789
1759865027762797300,-0.21020263671875,-47.7599983215332,-0.23999999463558197,10.979999542236328
1759865027793009700,-0.179990234375,-47.279998779296875,0.11999999731779099,11.699999809265137
1759865027823283200,-0.149716796875,-47.099998474121094,-0.6599999666213989,11.819999694824219
1759865027833323500,-0.139676513671875,-47.279998779296875,-0.6599999666213989,11.460000038146973
1759865027843394300,-0.129605712890625,-47.34000015258789,-1.0199999809265137,10.920000076293945
1759865027853495600,-0.11950439453125,-47.459999084472656,-0.6599999666213989,10.920000076293945
1759865027863566300,-0.10943359375,-46.91999816894531,-0.47999998927116394,10.4399995803833
1759865027893778700,-0.07922119140625,-47.70000076293945,-0.8399999737739563,9.59999942779541
1759865027903819000,-0.069180908203125,-48.05999755859375,-1.0199999809265137,9.420000076293945
1759865027913920300,-0.059079833984375,-48.959999084472656,-1.0799999237060547,8.760000228881836
1759865027924021800,-0.048978271484375,-49.439998626708984,-1.1399999856948853,8.519999504089355
1759865027934092500,-0.038907470703125,-49.13999938964844,-0.8399999737739563,8.220000267028809
1759865027944132900,-0.0288671875,-49.20000076293945,-0.7199999690055847,7.440000057220459
1759865027954234000,-0.018765869140625,-48.959999084472656,-0.17999999225139618,7.079999923706055
1759865027964305000,-0.008695068359375,-48.84000015258789,0.7199999690055847,6.239999771118164
1759865028004588000,0.031588134765625,-48.18000030517578,7.440000057220459,2.5799999237060547
1759865028014628400,0.04162841796875,-47.81999969482422,9.539999961853027,1.0199999809265137
1759865028024668700,0.051668701171875,-47.21999740600586,12.119999885559082,-0.7799999713897705
1759865028034770000,0.06177001953125,-46.5,15.179999351501465,-1.9799998998641968
1759865028044810200,0.071810302734375,-45.599998474121094,18.600000381469727,-3.5999999046325684
1759865028054911500,0.081911376953125,-43.55999755859375,22.739999771118164,-4.139999866485596
1759865028064951800,0.091951904296875,-40.73999786376953,26.639999389648438,-4.739999771118164
1759865028115367000,0.142366943359375,-20.100000381469727,41.279998779296875,-9.479999542236328
1759865028125407200,0.1524072265625,-14.880000114440918,43.07999801635742,-9.65999984741211
1759865028135478000,0.16247802734375,-9.65999984741211,43.79999923706055,-9.84000015258789
1759865028145518300,0.172518310546875,-3.9599997997283936,44.040000915527344,-9.899999618530273
1759865028155619600,0.18261962890625,1.1999999284744263,44.279998779296875,-8.9399995803833
1759865028165690400,0.1926904296875,6.359999656677246,42.89999771118164,-9.300000190734863
1759865028205973500,0.232973388671875,22.68000030517578,33.47999954223633,-10.319999694824219
1759865028226084600,0.253084716796875,27.119998931884766,30.17999839782715,-10.019999504089355
1759865028266368000,0.293367919921875,31.5,26.939998626708984,-10.920000076293945
1759865028286509600,0.313509521484375,32.040000915527344,26.51999855041504,-10.079999923706055
1759865028296580400,0.323580322265625,32.7599983215332,26.579999923706055,-9.779999732971191
1759865028346873300,0.373873291015625,31.439998626708984,26.69999885559082,-8.15999984741211
1759865028377116200,0.4041162109375,30.899999618530273,27.239999771118164,-7.37999963760376
1759865029717136100,1.74413623046875,30.599998474121094,29.15999984741211,-9.719999313354492
1759865029736877800,1.7638779296875,29.939998626708984,26.51999855041504,-15.299999237060547
1759865029746548700,1.773548828125,29.219999313354492,24.65999984741211,-18.53999900817871
1759865029756388900,1.783388916015625,29.51999855041504,25.19999885559082,-18.35999870300293
1759865029766259700,1.793259765625,29.399999618530273,25.139999389648438,-18.420000076293945
1759865029776230400,1.80323046875,29.459999084472656,25.260000228881836,-18.479999542236328
1759865029786270700,1.813270751953125,29.579999923706055,25.619998931884766,-18.119998931884766
1759865029796341500,1.823341552734375,29.15999984741211,25.31999969482422,-18.239999771118164
1759865029806443000,1.833443115234375,29.459999084472656,25.439998626708984,-17.639999389648438
1759865029816513800,1.843513671875,28.979999542236328,25.439998626708984,-17.69999885559082
1759865029826554000,1.85355419921875,29.219999313354492,25.5,-17.459999084472656
1759865029887009300,1.91400927734375,28.5,25.799999237060547,-17.69999885559082
1759865029917252400,1.94425244140625,30.35999870300293,25.739999771118164,-17.459999084472656
