seconds_elapsed,x,y,z
10.648032470703123,2.795340299739274,6.5165924999968645,6.774251177815757
10.65803125,2.685960635935044,6.465173103423394,6.86713451357101
10.66802978515625,2.583352901427165,6.400466067440726,6.966398361329024
10.67802880859375,2.485431488776267,6.329757572556055,7.065917039547567
10.68802734375,2.382587502634513,6.258959915662703,7.163733788250186
10.698026123046876,2.2758092782332593,6.18640492763089,7.260817476220682
10.70802490234375,2.1742746365184584,6.104620135631048,7.360470571039633
10.718023681640624,2.0956912917641657,6.002710236551787,7.4663198463580605
10.7280224609375,2.042378805707364,5.887400491184323,7.572158773619316
10.73802099609375,2.0052663884678696,5.771870309254248,7.670384870847764
10.74802001953125,1.9814359202451046,5.668512817436717,7.75320955185774
10.758018798828124,1.9592626788656482,5.586913089291534,7.817805069865014
10.768017333984377,1.9299815067086605,5.532422322446458,7.863705160568947
10.77801611328125,1.8884403591899919,5.506798098361899,7.891726803188267
10.788014892578126,1.8336361028254184,5.506125847387957,7.905108539270125
10.798013671875,1.7688808902374733,5.5234233063090015,7.907796127744775
10.808012451171876,1.7016559656261998,5.553719183622466,7.901326118229306
10.81801123046875,1.638036726928914,5.590928212886326,7.888519609032082
10.828010009765626,1.5741785263495924,5.636253097782081,7.869243750667641
10.8380087890625,1.5139030990395983,5.694521050940522,7.839063185713812
10.84800732421875,1.456218448726695,5.76495611149798,7.798403239419602
10.858006103515624,1.3994216546317864,5.8441100416144645,7.749734258447099
10.868005126953124,1.3460503062388176,5.926574873098484,7.696378568465308
10.878003662109377,1.296424415027204,6.0048386731385754,7.6440552371238635
10.88800244140625,1.2548337577450543,6.073271433946536,7.596785540775285
10.89800146484375,1.2167347271500168,6.118910851268971,7.5662983565591695
10.908000244140624,1.181626807019771,6.128737778332233,7.56390874851591
10.9179990234375,1.149330717978384,6.113879793892513,7.580890250428648
10.927997802734374,1.1256872750188003,6.084883177218518,7.607720361643418
10.9379970703125,1.112192794183694,6.044140724009291,7.642105359090406
10.947995849609375,1.106426701630004,5.990052987092499,7.685406260455227
10.95799462890625,1.1049219708714093,5.924657009481564,7.736147037174681
10.96799365234375,1.1064711081678338,5.8559673903947855,7.788051863715517
10.977992431640626,1.1143570045370954,5.791925284676577,7.83467894592135
10.9879912109375,1.1239200491241412,5.739000051055447,7.872170371610512
10.997989990234377,1.1269945388791398,5.70315061236324,7.89774275502421
11.00798828125,1.1197281984791667,5.685680271484957,7.911360997608273
11.0279853515625,1.1135960798968418,5.739210731883693,7.873483864743067
11.037983154296874,1.1042329702793252,5.7924523259204905,7.835722673869106
11.047981201171876,1.103781580093441,5.866971307707672,7.780147692716466
11.05797998046875,1.1051738521641008,5.954812476872519,7.712923138750714
11.06797900390625,1.0957705044183803,6.043652495308368,7.644863356535527
11.07797802734375,1.0758108175945877,6.131305558619274,7.577605654432729
11.087976318359376,1.0499992307642863,6.206996413416095,7.5193803841629245
11.117972900390624,1.0039972233454886,6.138597037354548,7.5815565823250655
11.1279716796875,0.9672023390148444,6.062596468115728,7.647210466745042
11.137970703125,0.9347861662907043,5.958447034524577,7.732623615732038
11.147969482421876,0.9085808138589743,5.8448473157029435,7.821932304955567
11.15796826171875,0.8878793335396785,5.739554029479426,7.901871553895292
11.16796728515625,0.8719878496129153,5.6507534627197495,7.967371380586462
11.177966064453123,0.8568723422452798,5.576900703188316,8.020868566332004
11.18796484375,0.8275336071619632,5.5065178962802666,8.072411845877454
11.197963623046874,0.7822465100645991,5.425600001037623,8.131502889917233
11.20796240234375,0.7278400211654102,5.329171819982853,8.200034197440313
11.217961181640623,0.67197184963023,5.215109223020672,8.277769859555729
11.227959716796876,0.613490502468799,5.092836003397919,8.358052109694846
11.23795849609375,0.5482610401574788,4.975464339088613,8.432944246513369
11.247957275390624,0.4756921460300103,4.871599397775343,8.497742083183054
11.2579560546875,0.39651712107224396,4.7839789599986124,8.551415304233982
11.26795458984375,0.313753701518057,4.714716869563313,8.593217539265419
11.277953369140626,0.23323059218418038,4.662944014250226,8.623974769984974
