time,seconds_elapsed,bpm
1755571303500000000,-4294782.841,152
1755571304508000000,-4294781.833,152
1755571305516000000,-4294780.825,152
1755571306524000000,-4294779.817,152
1755571307532000000,-4294778.809,153
1755571308539000000,-4294777.802,153
1755571309547000000,-4294776.794,153
1755571310554000000,-4294775.7870002445,153
1755571311561000000,-4294774.78,154
1755571312570000000,-4294773.771000244,154
1755571313577000000,-4294772.764,153
1755571314585000000,-4294771.756,153
1755571315593000000,-4294770.748,154
1755571316601000000,-4294769.74,154
1755571317608000000,-4294768.733,154
1755571318616000000,-4294767.725,154
1755571319624000000,-4294766.717,154
1755571320631000000,-4294765.71,153
1755571321639000000,-4294764.702,153
1755571322647000000,-4294763.694,153
1755571323654000000,-4294762.686999756,152
1755571324661000000,-4294761.68,152
1755571325668000000,-4294760.673,151
1755571326676000000,-4294759.665,150
1755571327683000000,-4294758.658,149
1755571328690000000,-4294757.651000245,148
1755571329697000000,-4294756.644,147
1755571330704000000,-4294755.637,146
1755571331711000000,-4294754.63,146
1755571332718000000,-4294753.622999756,145
1755571333725000000,-4294752.616,144
1755571334733000000,-4294751.608,144
1755571335740000000,-4294750.601,144
1755571336748000000,-4294749.593,143
1755571337755000000,-4294748.586,143
1755571338762000000,-4294747.579000244,143
1755571339770000000,-4294746.5710002445,143
1755571340777000000,-4294745.564,143
1755571341784000000,-4294744.557,143
1755571342792000000,-4294743.549,143
1755571343799000000,-4294742.542,142
1755571344807000000,-4294741.534,142
1755571345814000000,-4294740.526999756,142
1755571346822000000,-4294739.518999756,141
1755571347829000000,-4294738.512,141
1755571348837000000,-4294737.504,141
1755571349844000000,-4294736.497,141
1755571350852000000,-4294735.489,141
1755571351859000000,-4294734.482,141
1755571352866000000,-4294733.475000245,141
1755571353873000000,-4294732.468,141
1755571354881000000,-4294731.46,141
1755571355887000000,-4294730.454,141
1755571356895000000,-4294729.446,141
1755571357903000000,-4294728.438,141
1755571358910000000,-4294727.430999756,141
1755571359918000000,-4294726.4229997555,141
1755571360925000000,-4294725.416,140
1755571361933000000,-4294724.408,140
1755571362941000000,-4294723.4,139
1755571363948000000,-4294722.393,138
1755571364956000000,-4294721.385,138
1755571365963000000,-4294720.378,137
1755571366971000000,-4294719.37,137
1755571367979000000,-4294718.362,137
1755571368986000000,-4294717.355000244,137
1755571369994000000,-4294716.347000244,137
1755571371001000000,-4294715.34,137
1755571372009000000,-4294714.332,137
1755571373017000000,-4294713.324,137
1755571374025000000,-4294712.316,137
1755571375033000000,-4294711.308,136
1755571376041000000,-4294710.3,136
1755571377049000000,-4294709.292,136
1755571378056000000,-4294708.285,137
1755571379065000000,-4294707.276,137
1755571380072000000,-4294706.269,137
1755571381080000000,-4294705.261,137
1755571382088000000,-4294704.253,137
1755571383095000000,-4294703.246,137
1755571384103000000,-4294702.238,137
1755571385111000000,-4294701.23,136
1755571386119000000,-4294700.222,136
1755571387126000000,-4294699.214999756,136
1755571388134000000,-4294698.206999755,136
1755571389142000000,-4294697.198999756,136
1755571390150000000,-4294696.190999756,137
1755571391157000000,-4294695.184,137
1755571392164000000,-4294694.177,137
1755571393172000000,-4294693.169,137
1755571394179000000,-4294692.162,136
