time,seconds_elapsed,relativeAltitude,pressure
1759866086516929000,0.175928955078125,0,1022.705810546875
1759866086616929000,0.275928955078125,-1.347564697265625,1022.868896484375
1759866086716929000,0.375928955078125,-1.3739852905273438,1022.872314453125
1759866086816929000,0.475928955078125,-1.1784591674804688,1022.84814453125
1759866086916928300,0.57592822265625,-1.2471542358398438,1022.8564453125
1759866087016928300,0.67592822265625,-1.2260208129882812,1022.854248046875
1759866087116927500,0.775927490234375,-1.1943130493164062,1022.850341796875
1759866087216922400,0.87592236328125,-1.157318115234375,1022.845947265625
1759866087316918800,0.975918701171875,-1.157318115234375,1022.845947265625
1759866087416914200,1.0759140625,-1.1520309448242188,1022.84521484375
1759866087516909000,1.175908935546875,-1.2313003540039062,1022.85498046875
1759866087616903200,1.275903076171875,-1.2313003540039062,1022.85498046875
1759866087716896800,1.375896728515625,-1.4638214111328125,1022.883056640625
1759866087816890000,1.47589013671875,-1.8813018798828125,1022.93310546875
1759866087916883000,1.575883056640625,-1.8813018798828125,1022.93310546875
1759866088016875500,1.67587548828125,-1.6223602294921875,1022.902099609375
1759866088116867600,1.77586767578125,-1.4638214111328125,1022.8828125
1759866088216859600,1.875859619140625,-1.4638214111328125,1022.8828125
1759866088316851700,1.975851806640625,-1.4955291748046875,1022.886962890625
1759866088416843300,2.07584326171875,-1.447967529296875,1022.88134765625
1759866088516882200,2.175882080078125,-1.447967529296875,1022.88134765625
1759866088616918800,2.275918701171875,-1.4374008178710938,1022.8798828125
1759866088716953300,2.375953369140625,-1.416259765625,1022.877197265625
1759866088816985900,2.47598583984375,-1.4321136474609375,1022.87890625
1759866088917016300,2.576016357421875,-1.4532546997070312,1022.8818359375
1759866089017045200,2.676045166015625,-1.3264236450195312,1022.866455078125
1759866089117073000,2.776072998046875,-1.3317108154296875,1022.8671875
1759866089217099300,2.876099365234375,-1.35284423828125,1022.86962890625
1759866089317124000,2.9761240234375,-1.410980224609375,1022.876708984375
1759866089417147600,3.076147705078125,-1.447967529296875,1022.880859375
1759866089517171000,3.1761708984375,-1.4691085815429688,1022.883544921875
1759866089617193700,3.27619384765625,-1.3686981201171875,1022.871337890625
1759866089717216300,3.37621630859375,-1.347564697265625,1022.869140625
1759866089817238300,3.47623828125,-1.2682952880859375,1022.859130859375
1759866089917259800,3.576259765625,-1.1308975219726562,1022.8427734375
1759866090017281000,3.676281005859375,-1.347564697265625,1022.868896484375
1759866090117302000,3.776302001953125,-1.2418746948242188,1022.856201171875
1759866090217323800,3.87632373046875,-1.18902587890625,1022.849609375
1759866090317345000,3.976344970703125,-1.2788619995117188,1022.8603515625
1759866090417366300,4.0763662109375,-1.2418746948242188,1022.85595703125
1759866090517387800,4.1763876953125,-1.1361770629882812,1022.843017578125
1759866090617409000,4.276408935546875,-1.2313003540039062,1022.854736328125
1759866090717430300,4.37643017578125,-1.2471542358398438,1022.8564453125
1759866090817451500,4.476451416015625,-1.1731719970703125,1022.84765625
1759866090917472800,4.57647265625,-1.1361770629882812,1022.843505859375
1759866091018834000,4.677833984375,-1.3634185791015625,1022.87109375
1759866091118855200,4.777855224609375,-1.3000030517578125,1022.86328125
1759866091218876400,4.87787646484375,-1.5642318725585938,1022.895263671875
1759866091318897700,4.977897705078125,-1.60650634765625,1022.900146484375
1759866091418919200,5.077919189453125,-1.5060958862304688,1022.887939453125
1759866091518907400,5.177907470703125,-1.5906524658203125,1022.898193359375
1759866091618895400,5.277895263671875,-1.5483779907226562,1022.893310546875
1759866091718883300,5.37788330078125,-1.6593475341796875,1022.906494140625
1759866091818871300,5.477871337890625,-1.6593475341796875,1022.906494140625
1759866091918859800,5.57785986328125,-1.8231735229492188,1022.926513671875
1759866092018847700,5.67784765625,-1.6857757568359375,1022.90966796875
1759866092118835700,5.777835693359375,-1.6857757568359375,1022.90966796875
1759866092218823400,5.877823486328125,-1.6540679931640625,1022.90576171875
1759866092318811400,5.977811279296875,-1.7756118774414062,1022.920654296875
1759866092418799600,6.077799560546875,-1.7756118774414062,1022.920654296875
1759866092518787800,6.177787841796875,-1.3634185791015625,1022.87060546875
1759866092618776000,6.277776123046875,-1.447967529296875,1022.881103515625
1759866092718764000,6.377763916015625,-1.447967529296875,1022.881103515625
1759866092818752500,6.47775244140625,-1.8178863525390625,1022.926025390625
1759866092918740700,6.57774072265625,-1.6487808227539062,1022.905029296875
1759866093018728700,6.677728759765625,-1.6487808227539062,1022.905029296875
1759866093118717000,6.777717041015625,-1.7069091796875,1022.91259765625
1759866093218705200,6.877705078125,-1.7069091796875,1022.91259765625
1759866093318693000,6.977693115234375,-1.7069091796875,1022.91259765625
1759866093418680800,7.077680908203125,-1.5800857543945312,1022.897216796875
1759866093518669000,7.1776689453125,-1.5800857543945312,1022.89697265625
1759866093618657300,7.2776572265625,-1.6487808227539062,1022.905029296875
1759866093718645500,7.3776455078125,-1.8601608276367188,1022.930908203125
1759866093818633700,7.4776337890625,-1.8760147094726562,1022.932861328125
