time,seconds_elapsed,longitude,speedAccuracy,speed,bearingAccuracy,latitude,bearing,horizontalAccuracy,verticalAccuracy,altitude
1759866087704932600,1.3639326171875,2.2130717,1.5,0,45,48.9262204,0,18.465999603271484,0.5833306908607483,75.5
1759866089445309200,3.10430908203125,2.2131962,0.36787647008895874,1.478713870048523,180,48.9262328,164.94725036621094,15.232999801635742,0.5877528190612793,75.5
1759866090440006000,4.099005859375,2.2131502,0.42267554998397827,1.5217703580856323,180,48.9262241,180.3435516357422,14.154999732971191,0.6011444926261902,75.5
1759866091438056200,5.09705615234375,2.2131493,0.38003435730934143,0.9272961020469666,180,48.9262214,159.73687744140625,13.616000175476074,0.6112009882926941,75.5
1759866092443079200,6.1020791015625,2.213153,0.21824146807193756,0.8857060670852661,45,48.9262371,158.81954956054688,13.293000221252441,0.6188843250274658,75.5
1759866093438352400,7.097352294921875,2.2131519,20,0.7852482795715332,45,48.9262563,157.08837890625,11.199999809265137,0.6283618211746216,75.5
1759866093685366800,7.34436669921875,2.2131478,1.5,0.7803671360015869,180,48.9262543,158.33575439453125,12.729999542236328,0.6013153791427612,75.4000015258789
1759866094391733500,8.0507333984375,2.2131435,1.5,0.7672302722930908,180,48.92625,160.58164978027344,13.847999572753906,0.6013153791427612,75.4000015258789
1759866094673704700,8.33270458984375,2.21314,0.3072742223739624,1.1610770225524902,103.67567443847656,48.9262464,165.4444122314453,14.262999534606934,0.6167930960655212,75.4000015258789
1759866094991548700,8.650548583984374,2.2131463,0.30119404196739197,1.2106891870498657,90.90270233154297,48.9262485,161.3363800048828,13.87600040435791,0.6167930960655212,75.4000015258789
1759866095430823700,9.08982373046875,2.2131512,0.325479120016098,1.2273845672607422,93.74171447753906,48.9262482,156.80679321289062,13.602999687194824,0.6167930960655212,75.4000015258789
1759866095745843000,9.404843017578125,2.2131545,0.2590024769306183,1.2703243494033813,75.51642608642578,48.9262478,151.57814025878906,13.532999992370605,0.6265949606895447,75.4000015258789
1759866095849830700,9.50883056640625,2.2131621,0.2574177086353302,1.2833077907562256,83.31805419921875,48.9262488,146.41868591308594,13.04800033569336,0.6265949606895447,75.4000015258789
1759866096373392400,10.032392333984374,2.2131701,0.28566938638687134,1.2946828603744507,82.15747833251953,48.9262468,140.57693481445312,12.692000389099121,0.6265949606895447,75.4000015258789
1759866096705004000,10.364004150390626,2.2131756,0.17973706126213074,1.3191989660263062,66.73359680175781,48.9262446,136.95263671875,12.45199966430664,0.6329617500305176,75.4000015258789
1759866096871214600,10.530214599609375,2.2131812,0.23523658514022827,1.3273316621780396,52.71277618408203,48.9262433,132.1465301513672,12.0600004196167,0.6329617500305176,75.4000015258789
1759866097330990800,10.989990966796874,2.2131887,0.23523658514022827,1.3237531185150146,52.46078872680664,48.9262403,130.10348510742188,11.765999794006348,0.6329617500305176,75.4000015258789
1759866097683104000,11.34210400390625,2.2131926,0.18692076206207275,1.297458291053772,40.60016632080078,48.9262355,133.24295043945312,11.435999870300293,0.6532251238822937,75.4000015258789
1759866097891341800,11.550341796875,2.2131971,0.18704727292060852,1.2817938327789307,33.4873046875,48.9262343,132.37921142578125,11.123000144958496,0.6532251238822937,75.4000015258789
1759866098392482800,12.05148291015625,2.2132042,0.2297264188528061,1.2678630352020264,31.978059768676758,48.9262308,135.35145568847656,10.890999794006348,0.6532251238822937,75.4000015258789
1759866098746035200,12.40503515625,2.2132077,0.19357122480869293,1.2782081365585327,25.245647430419922,48.9262267,140.44354248046875,10.178000450134277,0.6567203402519226,75.4000015258789
1759866098913172500,12.57217236328125,2.2132106,0.19972844421863556,1.2394863367080688,22.331541061401367,48.9262258,140.0065460205078,9.961000442504883,0.6567203402519226,75.4000015258789
1759866099371070200,13.0300703125,2.2132155,0.233561173081398,1.2189421653747559,24.008338928222656,48.9262226,141.67022705078125,9.802000045776367,0.6567203402519226,75.4000015258789
1759866099706729700,13.365729736328126,2.2132191,0.21614313125610352,1.2241847515106201,19.422229766845703,48.9262185,144.89190673828125,8.576000213623047,0.6714085340499878,75.4000015258789
1759866099910370800,13.569370849609374,2.2132216,0.20625685155391693,1.1680481433868408,12.697325706481934,48.9262181,143.84890747070312,8.454999923706055,0.6714085340499878,75.4000015258789
1759866100471704600,14.13070458984375,2.2132272,0.24610596895217896,1.1595090627670288,15.051403045654297,48.9262141,145.16033935546875,7.99399995803833,0.6714085340499878,75.4000015258789
1759866100690194400,14.3491943359375,2.2132287,0.17454460263252258,1.1562976837158203,12.663314819335938,48.92621,147.8662109375,7.6620001792907715,0.671496570110321,75.4000015258789
1759866100971260400,14.630260498046875,2.2132334,0.2325277030467987,1.1520650386810303,9.720648765563965,48.9262086,143.99266052246094,7.494999885559082,0.671496570110321,75.4000015258789
1759866101457412600,15.11641259765625,2.2132396,0.2715979516506195,1.1535694599151611,12.0108003616333,48.926205,141.7181396484375,7.328999996185303,0.671496570110321,75.4000015258789
1759866101745112600,15.404112548828126,2.213246,0.18809379637241364,1.2020750045776367,9.425604820251465,48.9261924,142.95396423339844,7.031000137329102,0.5982047915458679,75
1759866102012367600,15.67136767578125,2.2132512,0.227387934923172,1.1573234796524048,7.045861721038818,48.9261884,139.79527282714844,6.815999984741211,0.5982047915458679,75
1759866102529501200,16.188501220703124,2.2132582,0.25037863850593567,1.1517932415008545,6.642002582550049,48.9261834,136.92123413085938,6.578999996185303,0.5982047915458679,75
1759866102723669200,16.382669189453125,2.2132608,0.17629778385162354,1.158339262008667,6.8417768478393555,48.9261812,137.2779998779297,6.375,0.5963382720947266,75
