time,seconds_elapsed,pressure,relativeAltitude
1759866086740810500,0.399810546875,1019.857666015625,0.052845001220703125
1759866086841457700,0.500457763671875,1019.87890625,-0.12154388427734375
1759866086942165500,0.60116552734375,1019.88916015625,-0.20609664916992188
1759866087042904000,0.701904052734375,1019.879150390625,-0.12154388427734375
1759866087143612200,0.802612060546875,1019.875244140625,-0.08983612060546875
1759866087244381200,0.903381103515625,1019.869384765625,-0.04227447509765625
1759866087345089000,1.004089111328125,1019.88232421875,0
1759866087445736200,1.104736083984375,1019.867431640625,0.12154769897460938
1759866087546383000,1.205383056640625,1019.868408203125,0.11626052856445312
1759866087647152000,1.306152099609375,1019.845703125,0.3012199401855469
1759866087747890700,1.406890625,1019.837646484375,0.3699188232421875
1759866087848629200,1.507629150390625,1019.84423828125,0.31179046630859375
1759866087949459200,1.608459228515625,1019.814697265625,0.5601654052734375
1759866088050228200,1.709228271484375,1019.813232421875,0.5707321166992188
1759866088151119400,1.810119384765625,1019.813232421875,0.5707321166992188
1759866088251919000,1.910919189453125,1019.830322265625,0.4280509948730469
1759866088352749000,2.0117490234375,1019.91162109375,-0.2430877685546875
1759866088453518000,2.11251806640625,1019.8349609375,0.39105987548828125
1759866088554317600,2.213317626953125,1019.859130859375,0.19024658203125
1759866088655056100,2.31405615234375,1019.88232421875,0
1759866088755794700,2.414794677734375,1019.86376953125,0.15325164794921875
1759866088856594200,2.51559423828125,1019.833251953125,0.40691375732421875
1759866088957394000,2.616393798828125,1019.830322265625,0.4280509948730469
1759866089058223900,2.717223876953125,1019.7734375,0.89837646484375
1759866089158993000,2.817992919921875,1019.873291015625,0.07398605346679688
1759866089259792600,2.918792724609375,1019.84228515625,0.3329277038574219
1759866089360592100,3.019592041015625,1019.8369140625,0.37520599365234375
1759866089461391600,3.1203916015625,1019.8642578125,0.14796829223632812
1759866089562160600,3.22116064453125,1019.79931640625,0.6869926452636719
1759866089662990800,3.321990966796875,1019.855712890625,0.221954345703125
1759866089763729400,3.4227294921875,1019.845703125,0.3012199401855469
1759866089864406800,3.52340673828125,1019.835205078125,0.39105987548828125
1759866089965084200,3.624084228515625,1019.862060546875,0.16382217407226562
1759866090065944800,3.72494482421875,1019.809326171875,0.6024398803710938
1759866090166744300,3.825744384765625,1019.809326171875,0.6024398803710938
1759866090267422000,3.926421875,1019.863037109375,0.158538818359375
1759866090368129800,4.0271298828125,1019.87158203125,0.08983993530273438
1759866090468807400,4.127807373046875,1019.87548828125,0.05284881591796875
1759866090569576400,4.228576416015625,1019.83642578125,0.3804893493652344
1759866090670376000,4.3293759765625,1019.9150390625,-0.26950836181640625
1759866090771053600,4.430053466796875,1020.01220703125,-1.0780448913574219
1759866090871761400,4.530761474609375,1019.86376953125,0.15325164794921875
1759866090972622000,4.6316220703125,1019.810546875,0.5918693542480469
1759866091073321700,4.73232177734375,1019.819580078125,0.5178871154785156
1759866091173999000,4.8329990234375,1019.8583984375,0.19552993774414062
1759866091274737700,4.933737548828125,1019.88525390625,-0.02642059326171875
1759866091375445800,5.03444580078125,1019.88330078125,-0.01056671142578125
1759866091476214800,5.13521484375,1019.8974609375,-0.12682723999023438
1759866091576953300,5.235953369140625,1019.84375,0.3170738220214844
1759866091677661200,5.3366611328125,1019.880126953125,0.0158538818359375
1759866091778308400,5.437308349609375,1019.878662109375,0.031707763671875
1759866091878955300,5.537955322265625,1019.89990234375,-0.1479644775390625
1759866091979571700,5.63857177734375,1019.837890625,0.3646354675292969
1759866092080340700,5.7393408203125,1019.833251953125,0.40691375732421875
1759866092180987600,5.839987548828125,1019.854736328125,0.22723770141601562
1759866092281634600,5.940634521484375,1019.852783203125,0.24309158325195312
1759866092382220500,6.041220458984375,1019.860595703125,0.17967605590820312
1759866092482898200,6.141898193359375,1019.842041015625,0.3329277038574219
1759866092583514600,6.2425146484375,1019.845947265625,0.3012199401855469
1759866092684283600,6.34328369140625,1019.86962890625,0.10569381713867188
1759866092784961000,6.4439609375,1019.86962890625,0.10569381713867188
1759866092885699600,6.544699462890625,1019.8564453125,0.21138381958007812
1759866092986499000,6.6454990234375,1019.83740234375,0.3699188232421875
1759866093087268000,6.74626806640625,1019.828125,0.449188232421875
1759866093188098300,6.847098388671875,1019.85791015625,0.20081329345703125
1759866093288775700,6.947775634765625,1019.860107421875,0.18495941162109375
1759866093389453300,7.048453369140625,1019.841064453125,0.3382110595703125
1759866093490192000,7.14919189453125,1019.85986328125,0.18495941162109375
1759866093590808300,7.249808349609375,1019.83837890625,0.3646354675292969
1759866093691638300,7.35063818359375,1019.84814453125,0.28008270263671875
1759866093792499000,7.4514990234375,1019.907958984375,-0.2113800048828125
1759866093893268000,7.55226806640625,1019.837646484375,0.3699188232421875
1759866093994067500,7.6530673828125,1019.8056640625,0.6341476440429688
1759866094094836500,7.75383642578125,1019.858642578125,0.19552993774414062
1759866094195636200,7.85463623046875,1019.832275390625,0.4121971130371094
1759866094296374500,7.95537451171875,1019.883544921875,-0.01056671142578125
1759866094396991000,8.055990966796875,1019.8447265625,0.31179046630859375
1759866094497760300,8.15676025390625,1019.893798828125,-0.09511947631835938
1759866094598559700,8.257559814453124,1019.8720703125,0.08455276489257812
1759866094699328800,8.358328857421874,1019.874267578125,0.06341552734375
1759866094799945200,8.4589453125,1019.874755859375,0.06341552734375
1759866094900653300,8.5596533203125,1019.863525390625,0.15325164794921875
1759866095001452800,8.660452880859374,1019.83984375,0.3487815856933594
1759866095102099700,8.761099609375,1019.841552734375,0.3382110595703125
