seconds_elapsed,angle_err
0.338027099609375,0.009468878625359648
0.34800634765625,0.009464702257402596
0.36799658203125,0.00999826926205137
0.427950927734375,0.016914857927001176
0.44794482421875,0.02059538523933621
0.45794189453125,0.021566506128154167
0.467939208984375,0.021684420717022035
0.4779365234375,0.021929519484621535
0.48793408203125,0.02263429568383994
0.497931884765625,0.023590832741248575
0.50792822265625,0.025418781422297632
0.5179248046875,0.03593302547404813
0.527922607421875,0.050585930472371456
0.537920166015625,0.06667230761170873
0.54791796875,0.08337104870015977
0.557916015625,0.10046766434673979
0.567913818359375,0.11787818066467881
0.577911865234375,0.13542880431483578
0.587909912109375,0.15297828460094653
0.597907958984375,0.1705821136334373
0.607906005859375,0.18821341245777234
0.61790380859375,0.20580749284543629
0.62790087890625,0.2231965428236993
0.63789892578125,0.2402473737732689
0.647897705078125,0.2566442926606771
0.657895263671875,0.2721408513654412
0.66789501953125,0.28770556811671544
0.677893798828125,0.3033825529027217
0.6878935546875,0.31946511066814454
0.69789208984375,0.3355522747499247
0.70789111328125,0.3506807154037607
0.717890380859375,0.36289744687548475
0.777882568359375,0.4444503144315879
0.78788134765625,0.45795283201441156
0.7978798828125,0.4721550337502577
0.80787939453125,0.48645579121699395
0.81787890625,0.500759676299398
0.827877685546875,0.5150678374251679
0.83787646484375,0.5294533820553456
0.847875244140625,0.5438084369344189
0.857873779296875,0.557944314559008
0.877871337890625,0.5859188709436615
0.8878701171875,0.599668038573187
0.89786865234375,0.6132088800270802
0.90786767578125,0.6264919663856866
0.917866455078125,0.6396052257139818
0.927865966796875,0.6525679030138313
0.93786474609375,0.665484389211237
0.94786279296875,0.6785702073577978
0.957861572265625,0.6917809771540291
0.967860107421875,0.7049674406564608
0.977859375,0.7180598216384186
0.987858154296875,0.7309459464909267
0.997857177734375,0.7435624877346636
1.007856201171875,0.7559041833787474
1.0178544921875,0.7679888518349808
1.027853271484375,0.7799113564751394
1.03785205078125,0.791751562373261
