seconds_elapsed,angle_err
0.203552490234375,0.01694039185384957
0.213552734375,0.017396831726442404
0.223552490234375,0.01732952763515597
0.233552734375,0.016924821898445505
0.26355419921875,0.016900799939842653
0.2735537109375,0.017092400701222792
0.3135537109375,0.020728640404746063
0.373554443359375,0.020980872893307648
0.38355419921875,0.020781233837412896
0.39355419921875,0.020531551447572148
0.40355419921875,0.02032194400173487
0.41355419921875,0.02027431635616945
0.42355419921875,0.020506539331698402
0.43355419921875,0.021017142906701862
0.44355419921875,0.021645434825546428
0.45355419921875,0.022131656614923702
0.46355419921875,0.02233966095564578
0.47355419921875,0.02231481947822025
0.48355419921875,0.022420436109252345
0.49355419921875,0.023035761246605967
0.50355419921875,0.024075036063282557
0.5135546875,0.025309466146723216
0.523554443359375,0.02653003465655309
0.5335546875,0.027647054577520605
0.543554443359375,0.028797039412138924
0.5535546875,0.03007031076024394
0.56355419921875,0.031375684886160944
0.573554443359375,0.03274187321449227
0.58355419921875,0.03402844304472367
0.593554443359375,0.03516447583177819
0.60355419921875,0.03631130319895096
0.613554443359375,0.03710432950401872
0.623554931640625,0.037658719487754046
0.633554931640625,0.03827557762367608
0.643554931640625,0.038963738124686016
0.653554931640625,0.039661891446757386
0.663554931640625,0.04064297982822283
0.673554443359375,0.04748863331311367
0.683554443359375,0.0558011989624111
0.693554443359375,0.06503974407556484
0.703554443359375,0.07526863488614664
0.713554443359375,0.08631951400421978
0.723554443359375,0.09794780192654655
0.733554443359375,0.10953242331571986
0.743554443359375,0.12084230467974846
0.753554443359375,0.13152104236308165
0.76355517578125,0.14228273240911787
0.773554931640625,0.15402989011344936
0.78355517578125,0.16624433961154725
0.79355419921875,0.17875784262060407
0.803553466796875,0.1913430057098073
0.813552734375,0.20388152608033186
0.823552001953125,0.21641969919120696
0.833551513671875,0.22872922389466757
0.84355126953125,0.24091790488109266
0.853550537109375,0.25359011164091894
0.86355078125,0.26707782333433616
0.873550537109375,0.280849440071682
0.883550537109375,0.2943468780602089
0.893550537109375,0.3073629860791604
0.9035498046875,0.31973550964457514
0.9135498046875,0.3315189046327553
0.923549072265625,0.3433354168303905
0.933549072265625,0.3553560434336375
0.943548583984375,0.3679878167416499
0.953548583984375,0.38158258491782016
0.963548095703125,0.39492870037299443
0.973548095703125,0.4070616717846285
0.98354736328125,0.4185711591387354
0.993547119140625,0.4297334246283768
1.003546630859375,0.440007257717387
1.013546142578125,0.44985005818820517
1.023545654296875,0.45988732947929206
1.033544921875,0.4688461981806344
1.04354443359375,0.4777699716274939
1.053543701171875,0.4862603680486784
1.06354248046875,0.494422655150328
1.0735419921875,0.5019167225846936
1.083541015625,0.5085485241574468
1.093540771484375,0.5139201675026288
1.103540771484375,0.5177993835686465
1.113540283203125,0.5211807764342349
1.1235390625,0.5239957943898296
1.133537841796875,0.5272077067006878
1.143537109375,0.5305259564745789
1.153535888671875,0.5331755996510986
1.16353466796875,0.5359166855071889
1.173533447265625,0.539193210930587
1.18353173828125,0.5427934029493736
1.19352978515625,0.5464856413834646
1.20352880859375,0.5498496407102982
1.21352734375,0.5529635138707981
1.223526123046875,0.5560127355729335
1.233524658203125,0.5594163555875189
1.243523681640625,0.5631390684483355
1.253522216796875,0.5668459250679571
1.2635205078125,0.5704061611304072
1.273519287109375,0.5738259195844005
1.28351806640625,0.5771680994875245
1.293516845703125,0.580687231238145
1.303515380859375,0.5842936365631065
1.31351416015625,0.5878836715143821
1.32351318359375,0.5911805534645264
1.33351171875,0.5942477381207313
1.343510498046875,0.5975223057596749
1.353509033203125,0.6008117211437234
1.363508056640625,0.6044841413719843
1.3735068359375,0.6083600124601123
1.38350537109375,0.6122619895083569
1.393503662109375,0.6162355851318208
1.40350146484375,0.6199986747260938
1.41350048828125,0.6236336720564278
1.423499755859375,0.627264011085463
1.43349951171875,0.6311095170104444
1.443498046875,0.6357404701408124
1.453496337890625,0.6404155258468224
1.46349462890625,0.6450487028396049
1.473492919921875,0.6495619287062313
1.5334853515625,0.6780308774563745
1.543484130859375,0.6830450233000747
1.553482666015625,0.6880855494692524
1.56348193359375,0.6927187369438506
1.573480712890625,0.6965101043602426
1.5834794921875,0.6996099034059654
1.59347802734375,0.7027926248547929
1.60347705078125,0.7062070412439433
1.6134755859375,0.7093656313840504
1.623474365234375,0.7126549039867025
1.63347314453125,0.7164087383822995
1.643471923828125,0.7205168674524903
1.653470458984375,0.724891124767116
1.66346923828125,0.729197071160135
1.673468017578125,0.7330127648791095
1.683466796875,0.7363991185263294
1.69346533203125,0.7396782938739586
1.70346533203125,0.7428056591138368
1.713464111328125,0.7460404680435847
1.723462890625,0.7498569260202236
1.73346142578125,0.7537920580041945
1.743460693359375,0.7581299902218029
1.753460205078125,0.7626021504249725
1.7634599609375,0.7674863837207545
1.773458984375,0.7724219836006433
1.78345849609375,0.7767880101119413
1.79345751953125,0.7803258177775088
1.803456787109375,0.7835155701033304
1.813455810546875,0.7864719998552545
1.823454833984375,0.7885406638019725
1.833453369140625,0.7896343014672046
1.8434521484375,0.7900324036945038
1.853450927734375,0.7902058940982534
1.86344970703125,0.7903354038630628
1.873448486328125,0.7899557305150964
1.883447021484375,0.7894434759800225
1.89344580078125,0.7890988449390655
1.90344482421875,0.7885276405358103
1.913443359375,0.7880743558314399
1.923442138671875,0.7874459028679464
1.93344091796875,0.7863222783140992
1.94343994140625,0.7851022721059157
1.953438720703125,0.7838945434879143
1.963437744140625,0.7825835391123893
1.973436767578125,0.7812237298779657
1.983435791015625,0.7801995843105259
1.993435302734375,0.7790027121262462
